ID,Tipo,Data,Responsável,Fornecedor,Quem Recebeu,Quem Cadastrou,Local,Material,Tipo Material,Qtd Pacotes,Unids. por Pacote,Qtd Total,Valor Unit.,Valor Total,Obs,Status,Motivo Exclusão,Data Exclusão
1776958868419,Entrada,2026-04-23 12:40,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,22,6,132,0,0,,ATIVO,,
1776958918899,Entrada,2026-04-23 12:41,MURILLO,,,,QUARTA PARADA,MARIANA,ORNAMENTAÇÃO,18,6,108,0,0,,ATIVO,,
1776958816966,Entrada,2026-04-23 08:55,MURILLO,COOPERFLORA,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,96,19,1824,0,0,,ATIVO,,
1776958966842,Entrada,2026-04-23 12:41,MURILLO,COOPERFLORA,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,0,0,64,"0,09",6,,ATIVO,,
1776959017395,Entrada,2026-04-23 12:42,MURILLO,COOPERFLORA,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,53,7,371,0,0,,ATIVO,,
1776959059490,Entrada,2026-04-23 12:43,MURILLO,COOPERFLORA,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,14,7,98,0,0,,ATIVO,,
1776959111828,Entrada,2026-04-23 12:44,MURILLO,COOPERFLORA,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,30,20,600,0,0,,ATIVO,,
1776959167251,Entrada,2026-04-23 12:45,MURILLO,COOPERFLORA,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,18,20,360,0,0,,ATIVO,,
1776959234874,Entrada,2026-04-23 12:46,MURILLO,COOPERFLORA,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,11,20,220,0,0,,ATIVO,,
1776959234874,Entrada,2026-04-23 12:46,MURILLO,COOPERFLORA,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,11,20,220,0,0,,ATIVO,,
1776959275418,Entrada,2026-04-23 12:47,MURILLO,COOPERFLORA,,,QUARTA PARADA,ROSA AMARELA,ORNAMENTAÇÃO,12,20,240,0,0,,ATIVO,,
1776959312948,Saída,2026-04-23 12:47,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,4,0,0,,ATIVO,,
1776959357267,Saída,2026-04-23 12:48,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO VERMELHO,VENDA LOJA,0,0,2,0,0,,ATIVO,,
1776959381021,Saída,2026-04-23 12:49,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTREMOS ROXO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1777038705003,Saída,2026-04-23 12:49,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,17,20,340,0,0,,ATIVO,,
1777038740589,Saída,2026-04-24 10:51,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,1,20,20,0,0,,ATIVO,,
1777038813605,Saída,2026-04-24 10:52,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,3,20,60,0,0,,ATIVO,,
1777038901996,Saída,2026-04-24 10:53,MURILLO,,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,14,20,280,0,0,,ATIVO,,
1777039371667,Saída,2026-04-24 10:55,MURILLO,,,,QUARTA PARADA,ROSA AMARELA,ORNAMENTAÇÃO,1,20,20,0,0,,ATIVO,,
1777039447979,Saída,2026-04-24 11:02,MURILLO,,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,62,7,434,0,0,,ATIVO,,
1777039486050,Saída,2026-04-24 11:04,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,41,19,779,0,0,,ATIVO,,
1777039571427,Saída,2026-04-24 11:04,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,20,6,120,0,0,,ATIVO,,
1777039630173,Entrada,2026-04-24 11:06,MURILLO,COOPERFLORA,,,QUARTA PARADA,LISIANTUS BRANCOS,ORNAMENTAÇÃO,3,36,108,0,0,CHEGOU DIA 23/04,ATIVO,,
1777039667732,Entrada,2026-04-24 11:07,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,2,0,0,,ATIVO,,
1777039715164,Entrada,2026-04-24 11:07,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTREMOS ROXO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1777039740386,Entrada,2026-04-24 11:08,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO LARANJA,VENDA LOJA,0,0,2,0,0,,ATIVO,,
1777112223109,Saída,2026-04-24 11:09,MURILLO,,,,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,4,20,80,0,0,,ATIVO,,
1777112268155,Saída,2026-04-25 07:17,MURILLO,,,,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,4,20,80,0,0,,ATIVO,,
1777112307946,Saída,2026-04-25 07:17,MURILLO,,,,QUARTA PARADA,ROSAS VERMELHAS,ORNAMENTAÇÃO,4,20,80,0,0,,ATIVO,,
1777112352709,Saída,2026-04-25 07:18,MURILLO,,,,QUARTA PARADA,ROSAS PINK,ORNAMENTAÇÃO,4,20,80,0,0,,ATIVO,,
1777112387988,Saída,2026-04-25 07:19,MURILLO,,,,QUARTA PARADA,GIPSOFILA,ORNAMENTAÇÃO,3,7,21,0,0,,ATIVO,,
1777112418147,Saída,2026-04-25 07:19,MURILLO,,,,QUARTA PARADA,CRISANTREMOS BRANCOS,ORNAMENTAÇÃO,14,19,266,0,0,,ATIVO,,
1777112454052,Saída,2026-04-25 07:20,MURILLO,,,,QUARTA PARADA,TANGO,ORNAMENTAÇÃO,12,6,72,0,0,,ATIVO,,
1777112484819,Entrada,2026-04-25 07:20,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO BRANCO,VENDA LOJA,0,0,4,0,0,,ATIVO,,
1777112522603,Entrada,2026-04-25 07:21,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTREMOS ROXO,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1777112549250,Entrada,2026-04-25 07:22,MURILLO,,,,QUARTA PARADA,VASO DE CRISANTEMO LARANJA,VENDA LOJA,0,0,1,0,0,,ATIVO,,
1777125725598,Entrada,2026-04-25T14:02:05.598Z,MURILLO,,,MURILLO,LOJA,ROSAS BRANCAS,ORNAMENTAÇÃO,0,0,20,0,0,Movimentação ← QUARTA PARADA,ATIVO,,
1777125725598,Saída,2026-04-25T14:02:05.598Z,MURILLO,,,MURILLO,QUARTA PARADA,ROSAS BRANCAS,ORNAMENTAÇÃO,0,0,20,0,0,Movimentação → LOJA,ATIVO,,
1777125758961,Saída,2026-04-25T14:02:38.960Z,MURILLO,,,MURILLO,QUARTA PARADA,ROSA CHAMPANHE,VENDA LOJA,0,0,21,0,0,Movimentação → LOJA,ATIVO,,
